,IATA,ICAO,Airline,Call sign,Country/Region,Comments
2936,,GJT,Gestión Aérea Ejecutiva,BANJET,Spain,
2937,,GHT,Ghadames Air Transport,,Libya,
2938,GH,GLP,Globus Airlines,GLOBUS,Russia,
2939,GH,GHA,Ghana Airways,GHANA,Ghana,defunct
2940,G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana,
2941,,NTC,Gibson Aviation,NIGHT CHASE,United States,
2942,,RPS,Global Air Charter,RESPONSE,United States,
2943,,GAG,Greybird Pilot Academy,GEEBIRD,Denmark,
2944,,DMJ,Global Air,DAMOJH,Mexico,defunct
2945,,GBS,Global Air Services Nigeria,GLOBAL SERVE,Nigeria,
2946,,GLC,Global Aircargo,,Bahrain,
2947,,,Global Airways (Turks and Caicos),,Turks and Caicos Islands,
2948,,BSP,Global Airways (BSP),,Democratic Republic of Congo,
2949,,GLB,Global Airways (GLB),GLO-AIR,United States,Air Castle Corporation
2950,,GBB,Global Aviation Operations,GLOBE,South Africa,
2951,,GAK,Global Aviation and Services Group,AVIAGROUP,Libya,
2952,,GGZ,Global Georgian Airways,GLOBAL GEORGIAN,Georgia,
2953,,GLJ,Global Jet Austria,GLOBAL JET AUSTRIA,Austria,
2954,,NSM,Global Jet Corporation,THUNDERCLOUD,United States,
2955,,SVW,Global Jet Luxembourg,SILVER ARROWS,Luxembourg,
2956,,GSK,Global Sky Aircharter,GLOBAL SKY,United States,
2957,,GSS,Global Supply Systems,JET LIFT,United Kingdom,
2958,,XGS,Global System,,United States,
2959,,XGW,Global Weather Dynamics,,United States,
2960,,GLW,Global Wings,,Japan,
2961,,GJA,Globe Jet,,Lebanon,
2962,,GAC,GlobeAir,DREAM TEAM,Austria,
2963,6G,RLX,Go2Sky,RELAX,Slovakia,
2964,G8,GOW,GoAir,GOAIR,India,
2965,GK,,Go One Airways,,United Kingdom,Defunct?
2966,G7,GJS,GoJet Airlines,LINDBERGH,United States,
2967,,GGE,Gobierno De Guinea Ecuatorial,,Equatorial Guinea,
2968,,GOF,Gof-Air,GOF-AIR,Mexico,
2969,,GOI,Gofir,SWISS HAWK,Switzerland,
2970,G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil,Brazilian low-cost airline.
2971,,GBT,Gold Belt Air Transport,GOLD BELT,Canada,defunct
2972,,GDA,GoldAir,AIR PARTNER,United Kingdom,
2973,,GDK,Goldeck-Flug,GOLDECK FLUG,Austria,
2974,DC,GAO,Golden Air,GOLDEN,Sweden,
2975,,GDD,Golden Airlines,GOLDEN AIRLINES,United States,
2976,,GPA,Golden Pacific Airlines,GOLDEN PAC,United States,
2977,,GRS,Golden Rule Airlines,GOLDEN RULE,Kyrgyzstan,
2978,,GLD,Golden Star Air Cargo,GOLDEN STAR,Sudan,
2979,,GOS,Goldfields Air Services,,Australia,
2980,,GAQ,Golfe Air Quebec,GOLFAIR,Canada,
2981,,GLE,Goliaf Air,GOLIAF AIR,São Tomé and Príncipe,
2982,,GOM,Gomel Airlines,GOMEL,Belarus,
2983,5Z,GON,Gonini Air Services,GONINI,Suriname,defunct
2984,,RDR,Goodridge (UK) Limited,RED STAR,United Kingdom,
2985,G1,,Gorkha Airlines,GORKHA AIRLINES,Nepal,?ICAO
2986,,GOR,Gorlitsa Airlines,GORLITSA,Ukraine,
2987,,HKG,Government Flying Service,HONGKONG GOVERNMENT,Hong Kong SAR of China,
2988,,GRZ,Government of Zambia Communications Flight,COM FLIGHT,Zambia,
2989,,HLD,Grampian Flight Centre,GRANITE,United Kingdom,
2990,,GAV,Granada Aviación,GRANAVI,Spain,
2991,,GAE,Grand Aire Express,GRAND EXPRESS,United States,
2992,,GND,Grand Airways,GRAND VEGAS,United States,
2993,,CVU,Grand Canyon Airlines,CANYON VIEW,United States,
2994,GV,GUN,Grant Aviation,HOOT,United States,
2995,,LMK,Grantex Aviation,LANDMARK,United Kingdom,
2996,,GRA,Great American Airways,GREAT AMERICAN,United States,Defunct
2997,,GRA,Guardian Air Asset Management,FLEX,South Africa,issued in 2017
2998,ZK,GLA,Great Lakes Airlines,LAKES AIR,United States,
2999,,GLU,Great Lakes Airways (Uganda),LAKES CARGO,Uganda,
3000,,GRP,Great Plains Airlines,GREAT PLAINS,United States,
3001,IJ,GWL,Great Wall Airlines,GREAT WALL,China,
3002,,GWA,Great Western Air,G-W AIR,United States,
3003,HB,HGB,Greater Bay Airlines,GREATER BAY,Hong Kong,
3004,,HNA,Greek Navy,HELLENIC NAVY,Greece,
3005,,GFF,Griffin Aviation,GRIFFIN AIR,Cyprus,
3006,,GXA,Grixona,GRIXONA,Moldova,
3007,,GZD,Grizodubova Air Company,GRIZODUBOVA AIR,Russia,
3008,,HTG,Grossmann Air Service,GROSSMANN,Austria,
3009,,GSJ,Grossmann Jet Service,GROSSJET,Czech Republic,
3010,,GHV,Ground Handling Service de Mexico,GROUND HANDLING,Mexico,
3011,,GPM,Grup Air-Med,GRUPOMED,Spain,
3012,,EJC,Grupo De Aviación Ejecutiva,GRUPOEJECUTIVA,Mexico,
3013,,TAT,Grupo TACA,TACA-COSTARICA,Costa Rica,
3014,,VMM,Grupo Vuelos Mediterraneo,VUELOS MED,Spain,
3015,,GMT,Grupo Aéreo Monterrey,GRUPOMONTERREY,Mexico,
3016,,GSY,Guard Systems,GUARD AIR,Norway,
3017,G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau,
3018,,GIJ,Guinea Airways,GUINEA AIRWAYS,Guinea,
3019,,GNC,Guinea Cargo,GUINEA CARGO,Equatorial Guinea,
3020,J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea,defunct
3021,,GEA,Guinea Ecuatorial Airlines,GEASA,Equatorial Guinea,
3022,,GIQ,Guinee Paramount Airlines,GUIPAR,Guinea,
3023,,CGH,Guizhou Airlines,GUIZHOU,China,
3024,,GUS,Guja,GUJA,Mexico,
3025,G8,GUJ,Gujarat Airways,GUJARATAIR,India,
3026,,TSU,Gulf & Caribbean Cargo / Contract Air Cargo,TRANSAUTO,United States,
3027,,GUF,Gulf African Airlines,GULF AFRICAN,The Gambia,
3028,GF,GFA,Gulf Air,GULF AIR,Bahrain,
3029,,GAT,Gulf Air Inc,GULF TRANS,United States,
3030,,GCN,Gulf Central Airlines,GULF CENTRAL,United States,
3031,,SFY,Gulf Flite Center,SKY FLITE,United States,
3032,,GPC,Gulf Pearl Air Lines,AIR GULFPEARL,Libya,
3033,,GLF,Gulfstream Aerospace,GULFSTREAM TEST,United States,
3034,,GFS,Gulfstream Airlines,GULFSTAR,United States,
3035,,GFT,Gulfstream International Airlines,GULF FLIGHT,United States,
3036,,GUL,Gull Air,GULL-AIR,United States,
3037,,GUM,Gum Air,GUM AIR,Suriname,
3038,,GDH,Guneydogu Havacilik Isletmesi,RISING SUN,Turkey,
3039,GY,,Guyana Airways 2000,,,
3040,,GWN,Gwyn Aviation,GWYN,United Kingdom,
3041,H4,,Héli Sécurité Helicopter Airlines,,France,
3042,EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,
3043,,AHT,HTA Helicopteros,HELIAPRA,Portugal,
3044,,ETI,H-Bird Aviation Services AB,JETHAWK,Sweden,
3045,,HSN,"H.S.AVIATION CO., LTD.",H.S.AVIATION,Thailand,
3046,,HAY,Hamburg Airways,HAMBURG AIRWAYS,Germany,
3047,,HCK,Heli-Charter,HELI-CHARTER,United Kingdom,
3048,,HTB,Helix-Craft Aviation,HELIX-CRAFT,Panama,2014[28]
3049,,HAF,Hellenic Air Force,HELLENIC AIR FORCE,Greece,
3050,,HRN,Heron Luftfahrt,HERONAIR,Germany,
3051,,HYP,Hyperion Aviation,HYPERION,Malta,
3052,,HFM,Hi Fly Malta,MOONRAKER,Malta,
3053,A5,HOP,Hop!,AIR HOP,France,
3054,,HLA,HC Airlines,HEAVYLIFT,United Kingdom,
3055,,HWD,HPM Investments,FLITEWISE,United Kingdom,
3056,,KTR,HT Helikoptertransport,COPTER TRANS,Sweden,
3057,,,Hacienda Airlines,,United States,"defunct - 1957 to July 10, 1962"
3058,,FMS,Hadison Aviation,HADI,United States,
3059,H6,HAG,Hageland Aviation Services,HAGELAND,United States,
3060,,POW,Hagondale Limited,AIRNET,United Kingdom,
3061,HR,HHN,Hahn Air,ROOSTER,Germany,
3062,H1,,Hahn Air Systems,,Germany,
3063,HU,CHH,Hainan Airlines,HAINAN,China,
3064,1R,,Hainan Phoenix Information Systems,,China,
3065,,HLS,Haiti Air Freight,,Haiti,
3066,2T,HAM,Haiti Ambassador Airlines,,Haiti,
3067,,HTI,Haiti International Air,HAITI INTERNATIONAL,Haiti,
3068,,HRB,Haiti International Airline,HAITI AIRLINE,Haiti,
3069,,HNR,Haiti National Airlines (HANA),HANAIR,Haiti,
3070,,HTN,Haiti North Airline,,Haiti,
3071,,HTC,Haiti Trans Air,HAITI TRANSAIR,Haiti,
3072,,HBC,Haitian Aviation Line,HALISA,Haiti,
3073,,HAJ,Hajvairy Airlines,HAJVAIRY,Pakistan,
3074,,HKL,Hak Air,HAK AIRLINE,Nigeria,
3075,,HLH,Hala Air,HALA AIR,Sudan,
3076,,HCV,Halcyonair,CREOLE,Cape Verde,
3077,4R,HHI,Hamburg International,HAMBURG JET,Germany,
3078,,HJL,Hamlin Jet,BIZJET,United Kingdom,
3079,,HMM,Hamra Air,HAMRA,United Arab Emirates,
3080,,WVA,Hand D Aviation,WABASH VALLEY,United States,
3081,,HGR,Hangar 8,HANG,United Kingdom,
3082,,HGD,Hangard Aviation,HANGARD,Mongolia,
3083,,HAN,Hansung Airlines,HANSUNG AIR,Republic of Korea,
3084,X3,HLX,Hapag-Lloyd Express,YELLOW CAB,Germany,Became TUI fly Deutschland in 2007
3085,HF,HLF,Hapagfly,HAPAG LLOYD,Germany,Became TUI fly Deutschland in 2007
3086,HB,HAR,Harbor Airlines,HARBOR,United States,
3087,HQ,HMY,Harmony Airways,HARMONY,Canada,
3088,,NBR,Haughey Air,NORBROOK,United Kingdom,
3089,,PYN,Haverfordwest Air Charter Services,POYSTON,United Kingdom,
3090,,HAV,Havilah Air Services,HAVILAH,Nigeria,
3091,HA,HAL,Hawaiian Airlines,HAWAIIAN,United States,
3092,HP,,Hawaiian Pacific Airlines,,United States,defunct
3093,,HKR,Hawk Air,AIR HAW,Argentina,
3094,,HMX,Hawk De Mexico,HAWK MEXICO,Mexico,
3095,BH,,Hawkair,,Canada,defunct since 2016
3096,,HKI,Hawkaire,HAWKEYE,United States,
3097,,HZL,Hazelton Airlines,HAZELTON,Australia,Defunct.
3098,HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia,
3099,,HVL,Heavylift International,HEAVYLIFT INTERNATIONAL,United Arab Emirates,
3100,,HDC,Helcopteros De Cataluna,HELICATALUNA,Spain,
3101,,HCB,Helenair (Barbados),HELEN,Barbados,
3102,,HCL,Helenair Corporation,HELENCORP,Saint Lucia,
3103,,HHP,Helenia Helicopter Service,HELENIA,Denmark,
3104,,HLR,Heli Air Services,HELI BULGARIA,Bulgaria,
3105,,ALJ,Heli Ambulance Team,ALPIN HELI,Austria,
3106,,HEB,Heli Bernina,HELIBERNINA,Switzerland,
3107,,HFR,Heli France,HELIFRANCE,France,
3108,,HYH,Heli Hungary,HELIHUNGARY,Hungary,
3109,,HLM,Heli Medwest De Mexico,HELIMIDWEST,Mexico,
3110,,HLI,Heli Securite,HELI SAINT-TROPEZ,France,
3111,,HTP,Heli Trip,HELI TRIP,Mexico,
3112,,HLU,Heli Union Heli Prestations,HELI UNION,France,
3113,,MCM,Heli-Air-Monaco,HELI AIR,Monaco,
3114,,HHE,Heli-Holland,HELI HOLLAND,Netherlands,
3115,,HRA,Heli-Iberica,ERICA,Spain,
3116,,HIF,Heli-Iberica Fotogrametria,HIFSA,Spain,
3117,,HIG,Heli-Inter Guyane,INTER GUYANNE,France,
3118,,HLK,Heli-Link,HELI-LINK,Switzerland,
3119,,HMC,Heliamerica De Mexico,HELIAMERICA,Mexico,
3120,,HEA,Heliavia-Transporte Aéreo,HELIAVIA,Portugal,
3121,,CDY,Heliaviation Limited,CADDY,United Kingdom,
3122,,HIB,Helibravo Aviacao,HELIBRAVO,Portugal,
3123,,HLC,Helicap,HELICAP,France,
3124,,COV,Helicentre Coventry,HELICENTRE,United Kingdom,
3125,,HEL,Helicol,HELICOL,Colombia,
3126,,HCP,Helicopter,HELI CZECH,Czech Republic,
3127,,JKY,Helicopter & Aviation Services,JOCKEY,United Kingdom,
3128,,MVK,Helicopter Training & Hire,MAVRIK,United Kingdom,
3129,,HAP,Helicopteros Aero Personal,HELIPERSONAL,Mexico,
3130,,HAA,Helicopteros Agroforestal,AGROFORESTAL,Chile,
3131,,HNT,Helicopteros Internacionales,HELICOP INTER,Mexico,
3132,,HEN,Helicópteros Y Vehículos Nacionales Aéreos,HELINAC,Mexico,
3133,,HHH,Helicsa,HELICSA,Spain,
3134,JB,JBA,Helijet,HELIJET,Canada,
3135,,HDR,Helikopterdrift,HELIDRIFT,Norway,
3136,,SCO,Helikopterservice Euro Air,SWEDCOPTER,Sweden,
3137,,OCE,Heliocean,HELIOCEAN,France,
3138,ZU,HCY,Helios Airways,HELIOS,Cyprus,
3139,,HLP,Helipistas,HELIPISTAS,Spain,
3140,,HPL,Heliportugal,HELIPORTUGAL,Portugal,
3141,,HEC,Heliservicio Campeche,HELICAMPECHE,Mexico,
3142,,HSU,Helisul,HELIS,Portugal,
3143,,HSI,Heliswiss,HELISWISS,Switzerland,
3144,,HLT,Helitafe,HELITAFE,Mexico,
3145,,HIT,Helitalia,HELITALIA,Italy,
3146,,OFA,Helitaxi Ofavi,OFAVI,Mexico,
3147,,HLT,Helitours,HELITOURS,Sri Lanka,
3148,9I,HTA,Helitrans,SCANBIRD,Norway,
3149,,HTS,Helitrans Air Service,HELITRANS,United States,
3150,,HLW,Heliworks,HELIWORKS,Chile,
3151,HJ,HEJ,Hellas Jet,HELLAS JET,Greece,ceased operation in 2010
3152,HW,FHE,Hello,FLYHELLO,Switzerland,
3153,,HLG,Helog,HELOG,Switzerland,
3154,2L,OAW,Helvetic Airways,HELVETIC,Switzerland,
3155,,HMS,Hemus Air,HEMUS AIR,Bulgaria,
3156,,HAC,Henebury Aviation,,Australia,
3157,,SSH,Heritage Flight (Valley Air Services),SNOWSHOE,United States,
3158,,MRX,Herman's Markair Express,SPEEDMARK,United States,
3159,,HED,Heritage Aviation Developments,FLAPJACK,United Kingdom,
3160,UD,HER,Hex'Air,HEX AIRLINE,France,
3161,,HHS,Hi-Jet Helicopter Services,HIJET,Suriname,
3162,5K,HFY,Hi Fly,SKY FLYER,Portugal,
3163,,HLB,High-Line Airways,HIGH-LINE,Canada,
3164,,HWY,Highland Airways,HIWAY,United Kingdom,
3165,H9,HIM,Himalaya Airlines,HIMALAYA,Nepal,
3166,,HSH,Hispánica de Aviación,HASA,Spain,
3167,,HIS,Hispaniola Airways,HISPANIOLA,Dominican Republic,
3168,VM,VMS,His Majesty King Maha Vajiralongkorn,VICTOR MIKE[29],Thailand,"holding airline, renamed on his accession[30]"
3169,,HGA,Hogan Air,HOGAN AIR,United States,
3170,,NTH,Hokkaido Air System,NORTH AIR,Japan,
3171,,ABH,Hokuriki-Koukuu Company,,Japan,
3172,H5,HOA,Hola Airlines,HOLA,Spain,
3173,,HIN,Holding International Group,HOLDING GROUP,Mexico,
3174,,HOL,Holiday Airlines (US Airline),HOLIDAY,United States,
3175,HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic,
3176,,HTR,Holstenair Lubeck,HOLSTEN,Germany,
3177,,HMV,Homac Aviation,HOMAC,Luxembourg,
3178,,HAS,Honduras Airlines,HONDURAS AIR,Honduras,
3179,HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong,
3180,RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong,
3181,UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong,
3182,A6,HTU,Hongtu Airlines,HONGLAND,China,
3183,,HEX,Honiara Cargo Express,HONIARA CARGO,Solomon Islands,
3184,H1,,Hooters Air,Hooters Air,United States,"The airline was established in 2003 and started operations on March 6, 2003. On April 17, 2006, Hooters Air ceased operations, halting scheduled Public Charter service and refunding tickets."
3185,,HPJ,Hop-A-Jet,HOPA-JET,United States,
3186,HH,,Hope Air,HOPE AIR,Canada,
3187,QX,QXE,Horizon Air,HORIZON AIR,United States,
3188,,KOK,Horizon Air Service,KOKO,United States,
3189,,HSM,Horizon Air for Transport and Training,ALOFUKAIR,Libya,
3190,,HOR,Horizon Air-Taxi,HORIZON,Switzerland,
3191,BN,HZA,Horizon Airlines,HORIZON,Australia,defunct
3192,,HPS,Horizon Plus,HORIZON PLUS,Bangladesh,
3193,,HUD,Horizons Unlimited,HUD,United States,
3194,,HOZ,Horizontes Aéreos,HORIZONTES AEREOS,Mexico,
3195,,HDI,Hoteles Dinamicos,DINAMICOS,Mexico,
3196,,HHO,Houston Helicopters,HOUSTON HELI,United States,
3197,,GGV,Houston Jet Services,GREGG AIR,Austria,
3198,,OZU,Hozu-Avia,HOZAVIA,Kazakhstan,
3199,,HUB,Hub Airlines,HUB,United States,
3200,,HUS,Huessler Air Service,HUESSLER,United States,
3201,,GMH,Hughes Aircraft Company,HUGHES EXPRESS,United States,
3202,,HUV,Hunair Hungarian Airlines,SILVER EAGLE,Hungary,
3203,,HUF,Hungarian Air Force,HUNGARIAN AIRFORCE,Hungary,
3204,,HYA,Hyack Air,HYACK,Canada,
3205,,HYC,Hydro Air Flight Operations,HYDRO CARGO,South Africa,
3206,,HYD,Hydro-Québec,HYDRO,Canada,
3207,,HKB,Hawker Beechcraft,CLASSIC,United States,
3208,MR,MML,Hunnu Air,TRANS MONGOLIA,Mongolia,
3209,,RPX,HD Air Ltd,RAPEX,United Kingdom,
3210,,SRD,HM Coastguard,COASTGUARD,United Kingdom,
3211,,SRG,HM Coastguard,RESCUE,United Kingdom,Search and Rescue
3212,,WHR,Hummingbird Helicopter Service,WHIRLEYBIRD,United States,
3213,I4,EXP,Island Air Express,ISLAND EXPRESS,United States,2014[31]
3214,,IWL,Island Wings,,Bahamas,2014[31]
3215,IK,KAR,Ikar,IKAR,Russian Federation,
3216,,ICN,Iconair,,Pakistan,
3217,,IAC,Interaviation Charter,INTERCHARTER,Romania,
3218,,ITC,International Air Carrier Association,,Belgium,
3219,,IDG,IDG Technology Air,INDIGO,Czech Republic,
3220,,IFL,IFL Group,EIFEL,United States,
3221,,RDE,II Lione Alato Arl,FLIGHT RED,United Kingdom,
3222,,IJM,IJM International Jet Management,JET MANAGEMENT,Austria,
3223,,IKK,IKI International Airlines,IKIAIR,Japan,
3224,,IKN,IKON FTO,IKON,Germany,
3225,,BLU,IMP Aviation Services,BLUENOSE,Canada,
3226,,XGG,IMP Group Aviation Services,,Canada,
3227,1F,,INFINI Travel Information,,Japan,Computer Reservation System
3228,,IPA,IPEC Aviation,IPEC,Australia,
3229,,IPM,IPM Europe,SHIPEX,United Kingdom,
3230,,LVB,IRS Airlines,SILVERBIRD,Nigeria,
3231,,ISD,ISD Avia,ISDAVIA,Ukraine,
3232,1U,,ITA Software,,United States,Computer reservation system
3233,,FDF,IVV Femida,,Russia,
3234,IB,IBE,Iberia Airlines,IBERIA,Spain,
3235,II,CSQ,IBC Airways,CHASQUI,United States,
3236,I2,IBS,Iberia Express,IBEREXPRESS,Spain,"Charter service, low cost carrier for EU flights of Iberia operating only A320s"
3237,,IBR,Ibertour Servicios Aéreos,IBERTOUR,Spain,
3238,,IBT,Ibertrans Aérea,IBERTRANS,Spain,
3239,TY,IWD,Iberworld,IBERWORLD,Spain,
3240,FW,IBX,Ibex Airlines,IBEX,Japan,
3241,,IBC,Ibicenca Air,IBICENCA,Spain,
3242,,AKI,Ibk-Petra,,Sudan,
3243,0C,IBL,IBL Aviation,CATOVAIR,Mauritius,
3244,,BBL,IBM Euroflight Operations,BLUE,Switzerland,
3245,,YYY,ICAO,,,Used by airlines without a specific code
3246,C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine,
3247,,ICA,Icaro,ICARFLY,Italy,
3248,,ICD,Icaro Air,ICARO,Ecuador,Defunct 2011
3249,,IUS,Icarus,ICARUS,Italy,
3250,,CIC,ICC Canada,AIR TRADER,Canada,
3251,,ICJ,Icejet,ICEJET,Iceland,
3252,HC,,Iceland Express,,Iceland,defunct
3253,FI,ICE,Icelandair,ICEAIR,Iceland,
3254,,ICG,Icelandic Coast Guard,ICELAND COAST,Iceland,
3255,,RAC,Icar Air,TUZLA AIR,Bosnia and Herzegovina,
3256,,FRC,Icare Franche Compte,FRANCHE COMPTE,France,
3257,,IFM,Ifly,ICOPTER,Greece,
3258,,IKR,Ikaros DK,IKAROS,Denmark,
3259,,CIO,Il Ciocco International Travel Service,CIOCCO,Italy,
3260,,ILV,Il-Avia,ILAVIA,Russia,
3261,,IDL,Ildefonso Redriguez,ILDEFONSO,Mexico,
3262,V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States,
3263,,ILP,Ilpo Aruba Cargo,,Aruba,
3264,,ILL,Ilyich-Avia,ILYICHAVIA,Ukraine,
3265,,IMR,Imaer,IMAER,Portugal,
3266,,ITX,Imair Airlines,IMPROTEX,Azerbaijan,
3267,,PNX,Imperial Airways,PHOENIX,United States,"ICAO code in use by another company, call sign no longer allocated"
3268,,IMG,Imperial Cargo Airlines,IMPERIAL AIRLINES,Ghana,
3269,,IMT,Imtrec Aviation,IMTREC,Cambodia,
3270,DH,IDE,Independence Air,INDEPENDENCE AIR,United States,defunct
3271,,IDP,Independent Air Freighters,INDEPENDENT,Australia,
3272,I7,IOA,IndiaOne Air,INDIA FIRST,India,
3273,6E,IGO,IndiGo,IFLY,India,InterGlobe Aviation
3274,,IIL,India International Airways,INDIA INTER,India,
3275,,IFC,Indian Air Force,INDIAN AIRFORCE,India,
3276,IC,IAC,Indian Airlines,INDAIR,India,
3277,,IDR,Indicator Company,INDICATOR,Hungary,
3278,I9,IBU,Indigo Airlines,INDIGO BLUE,United States,
3279,VP,AXC,Indochina Airlines,AIRSPUP,Vietnam,defunct
3280,,IDA,Indonesia Air Transport,INTRA,Indonesia,
3281,QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia,
3282,IO,IAA,Indonesian Airlines,INDO LINES,Indonesia,
3283,,IPN,Industri Pesawat Terbang Nusantara,NUSANTARA,Indonesia,
3284,,ITN,Industrias Titan,TITANLUX,Spain,
3285,,FFI,Infinit Air,INFINIT,Spain,
3286,C4,IMX,Zimex Aviation,ZIMEX,Switzerland,
3287,,INS,Inflite The Jet Centre,,United Kingdom,
3288,,IVA,Innotech Aviation,INNOTECH,Canada,
3289,,INC,Insel Air International,INSELAIR,Netherlands Antilles,
3290,,ICC,Institut Cartogràfic de Catalunya,CARTO,Spain,
3291,,INT,Intair,INTAIRCO,Canada,
3292,,INL,Intal Avia,INTAL AVIA,Kyrgyzstan,
3293,,FFL,Intavia Limited,,United Kingdom,
3294,,XRA,Intensive Air,INTENSIVE,South Africa,
3295,,ITW,Inter Air,INTER WINGS,Bulgaria,
3296,,INX,Inter Express,INTER-EURO,Turkey,
3297,,IIC,Inter Island Air Charter,,Bahamas,2014[31]
3298,H4,IIN,Inter Island Airways,,Cape Verde,
3299,,CAR,Inter RCA,QUEBEC ROMEO,Central African Republic,
3300,,NTT,Inter Tropic Airlines,INTER-TROPIC,Sierra Leone,
3301,,TCU,Inter Tropical Aviation,TROPAIR,Suriname,Defunct 2001
3302,,ITA,Inter-Air,CAFEX,United States,
3303,,ICN,Inter-Canadian,INTER-CANADIAN,Canada,
3304,,UGL,Inter-Island Air,UGLY VAN,United States,
3305,,IMA,Inter-Mountain Airways,INTER-MOUNTAIN,United States,
3306,,ITS,Inter-State Aviation,INTER-STATE,United States,
3307,D6,ILN,Interair South Africa,INLINE,South Africa,
3308,,NTE,Interaire,INTERMEX,Mexico,
3309,ZA,SUW,Interavia Airlines,ASTAIR,Russia,
3310,,IVT,Interaviatrans,INTERAVIA,Ukraine,
3311,JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from Interisland Airways Limited and Air Turks & Caicos
3312,RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia,
3313,,ICP,Intercopters,CHOPER,Spain,
3314,,IFT,Interflight,INTERFLIGHT,United Kingdom,
3315,,IJT,Interflight (Learjet),,United Kingdom,
3316,,RFL,Interfly,INFLY,Italy,
3317,,IFF,Interfreight Forwarding,INTERFREIGHT,Sudan,
3318,,IGN,Interguide Air,DIVINE AIR,Nigeria,
3319,,ISN,Interisland Airlines,TRI-BIRD,Philippines,
3320,,IWY,Interisland Airways Limited,ISLANDWAYS,Turks and Caicos Islands,Name changed to Air Turks and Caicos
3321,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico,
3322,,IHE,Interjet Helicopters,INTERCOPTER,Greece,
3323,,IJW,Interjet Inc.,JET WEST,United States,2015[32]
3324,ID,ITK,Interlink Airlines,INTERLINK,South Africa,
3325,,IAK,International Air Cargo Corporation,AIR CARGO EGYPT,Egypt,
3326,,EXX,International Air Corporation,EXPRESS INTERNATIONAL,United States,
3327,,NCC,"T3 Aviation, Inc.",STARFLEET,United States,2020[33]
3328,,IAX,International Air Services,INTERAIR SERVICES,Liberia,
3329,6I,IBZ,International Business Air,INTERBIZ,Sweden,was U5
3330,,IBY,International Business Aircraft,CENTRAL STAGE,United States,
3331,,ICS,International Charter Services,INTERSERVI,Mexico,
3332,,ICX,International Charter Xpress,INTEX,United States,Defunct 1994
3333,,RED,International Committee of the Red Cross,RED CROSS,Switzerland,
3334,,IIG,"International Company for Transport, Trade and Public Works",ALDAWLYH AIR,Libya,
3335,,IFX,International Flight Training Academy,IFTA,United States,
3336,,IJA,International Jet Aviation Services,I-JET,United States,
3337,,HSP,International Jet Charter,HOSPITAL,United States,The Flying Hospital
3338,,THN,International Security Assistance Force,ATHENA,Canada,
3339,,RSQ,International SOS Windhoek,SKYMEDIC,Namibia,
3340,,ISF,International Stabilisation Assistance Force,,United Kingdom,
3341,,ITH,International Trans-Air,INTRANS NIGERIA,Nigeria,
3342,,IPT,Interport Corporation,INTERPORT,United States,
3343,,IKY,Intersky Bulgary,GENERAL SKY,Bulgaria,
3344,3L,ISK,Intersky,INTERSKY,Austria,Defunct
3345,I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands,Defunct
3346,,ITU,Intervuelos,INTERLOS,Mexico,
3347,,INV,Inversija,INVER,Latvia,
3348,,IND,Iona National Airways,IONA,Ireland,
3349,,IOA,Iowa Airways,IOWA AIR,United States,
3350,IR,IRA,Iran Air,IRANAIR,Iran,Was B9
3351,EP,IRC,Iran Aseman Airlines,ASEMAN,Iran,
3352,,IRB,Iranair Tours,,Iran,
3353,,IRG,Iranian Naft Airlines,NAFT,Iran,
3354,IA,IAW,Iraqi Airways,IRAQI,Iraq,
3355,,BIS,Irbis Air,IRBIS,Kazakhstan,
3356,,IRL,Irish Air Corps,IRISH,Ireland,
3357,,RDK,Irish Air Transport,IRISH TRANS,Ireland,
3358,,XMR,Irish Aviation Authority,AUTHORITY,Ireland,
3359,IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan,Old IATA code: IT; old ICAO code: IRT
3360,,KCE,Irving Oil,KACEY,Canada,
3361,,ISI,Island Air,ISLANDMEX,Mexico,
3362,,ILF,Island Air Charters,ISLAND FLIGHT,United States,
3363,,XYZ,Island Air Express,RAINBIRD,United States,
3364,,ISA,Island Airlines,,United States,
3365,,SOY,Island Aviation,SORIANO,Philippines,
3366,,DQA,Island Aviation Services,,Maldives,
3367,,IOM,Island Aviation and Travel,ISLE AVIA,United Kingdom,
