,IATA,ICAO,Airline,Call sign,Country/Region,Comments
443,,ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco,
444,,ADA,Airservices Australia,AUSCAL,Australia,Flight Inspection Unit
445,8T,TID,Air Tindi,,Canada,
446,,ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine,Antonov Design Bureau
447,,ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain,
448,,ADI,Audeli Air,AUDELI,Spain,
449,,ADL,Aero Dynamics,COTSWOLD,United Kingdom,
450,,ADN,Aero-Dienst,AERODIENST,Germany,
451,,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
452,3L,ADY,Air Arabia Abu Dhabi,Nawras [6][7],United Arab Emirates,
453,,ADQ,Avion Taxi,AIR DATA,Canada,2695731 Canada Inc.
454,,ADS,Aviones de Sonora,SONORAV,Mexico,
455,,ADU,Airdeal Oy,AIRDEAL,Finland,
456,EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
457,,AEC,Aerocésar,AEROCESAR,Colombia,defunct; aka Aerovías del César
458,,AED,Aerotrans Airlines,,Russia,defunct
459,,ADX,Anderson Aviation,ANDAX,United States,
460,,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
461,,AEJ,Air Express,KHAKI EXPRESS,Tanzania,
462,,AEK,Aerocon,AEROCON,Bolivia,
463,,AEM,Aero Madrid,AEROMADRID,Spain,
464,KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
465,,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
466,,AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain,
467,AX,—,AmericanConnection[8],—,United States,
468,AN,AAA,Ansett Australia,ANSETT,Australia,defunct
469,,AAC,Army Air Corps,ARMYAIR,United Kingdom,
470,5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
471,,AEV,Aeroventas,AEROVENTAS,Mexico,
472,VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
473,,AEX,Airway Express,AVCO,United States,ICAO code no longer allocated
474,,AEZ,Aerial Transit,AERIAL TRANZ,United States,
475,,AFA,Alfa Air,BLUE ALFA,Czech Republic,
476,WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
477,QQ,UTY,Alliance Airlines,UNITY,Australia,
478,,UVS,Air Universal,UNI-LEONE,Sierra Leone,defunct
479,,UVT,Auvia Air,AUVIA,Indonesia,
480,,AFC,African West Air,AFRICAN WEST,Senegal,
481,,AFE,Airfast Indonesia,AIRFAST,Indonesia,
482,FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
483,RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
484,Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
485,,AFK,Africa Air Links,AFRICA LINKS,Sierra Leone,
486,,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
487,,AFQ,Alba Servizi Aerotrasporti,ALBA,Italy,
488,5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
489,,AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria,
490,,AFZ,Africa Freight Services,AFREIGHT,Zambia,
491,,AGA,Aeronaves Del Centro,,Venezuela,
492,,AGC,Arab Agricultural Aviation Company,AGRICO,Egypt,
493,,AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States,defunct
494,5D,SLI,Aeroméxico Connect,COSTERA,Mexico,
495,,AGG,Algoma Airways,ALGOMA,Canada,ICAO code no longer allocated
496,,AGH,Altagna,ALTAGNA,France,
497,,AGO,Angola Air Charter,ANGOLA CHARTER,Angola,
498,,AGP,AERFI Group,AIR TARA,Ireland,
499,1A,AGT,Amadeus IT Group,AMADEUS,Spain,
500,,AGU,Angara Airlines,SARMA,Russia,
501,,AGW,Aero Gambia,AERO GAMBIA,Gambia,"defunct, ICAO code no longer allocated"
502,JJ,AGX,Aviogenex,GENEX,Serbia,defunct
503,,BLR,Atlantic Coast Airlines,BLUE RIDGE,United States,defunct
504,,BLZ,Aero Barloz,AEROLOZ,Mexico,
505,PL,PLI,Aeroperú,Aeroperu,Peru,defunct
506,8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
507,,BNB,Aero Banobras,AEROBANOBRAS,Mexico,
508,,AGY,Aero Flight Service,FLIGHT GROUP,United States,
509,,AGZ,Agrolet-Mci,AGROLET,Slovakia,
510,GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
511,,AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan,Cargo Airline of the State Concern Azerbaijan Hava
512,,AHE,"Airport Helicopter Basel, Muller & Co.",AIRPORT HELICOPTER,Switzerland,
513,,CJE,Aeroservices Corporate,BIRD JET,France,
514,,AHF,Aspen Helicopters,ASPEN,United States,
515,,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
516,,AHH,Airplanes Holdings,AIRHOLD,Ireland,
517,,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
